urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-86-174276-11370238-post1__6	ارباب اختیار کوکھیل کے کن شعبوں پر زیادہ توجہ دینے کی ضرورت ہے؟	Which department of the sport needs more attention of concerning authorities?	Which aspects of the game should experts focus on?	which departments of the game should be addressed more by the authorities?	n/a	-36.1814	-29.3882	-32.5108	-42.7141	-38.1848	-29.3005	-33.1927	-42.7141
urd-wl-86-174276-11370238-post1__7	آپ ٹیم کے انتخاب سے مطمئن ہیں؟	If you are satisfied with team selection?	Are you satisfied with the selection of the team?	are you satisfied with the selection of the team?	n/a	-55.2843	-57.5447	-57.5447	-42.7141	-55.3526	-53.8152	-53.8152	-42.7141
urd-wl-86-174276-11370238-post1__8	آپ شکست کی ذمہ داری کس شعبے پر عائد کریں گے، فیلڈنگ، بیٹنگ یا باؤلنگ؟	Which department is the major reason of the defeat: fielding, batting or bowling.	Which part do you place the responsibility of the loss on, fielding, batting or bowling?	which department you will hold responsible for the defeat, fielding, batting or bowling?	n/a	-154.681	-124.623	-120.62	-42.7141	-154.949	-124.974	-121.608	-42.7141
urd-wl-86-174276-11370238-post1__9	اپنی رائے سے آگاہ کریں۔	Kindly share your opinion.	Let us know of your opinion.	please provide your feedback.	n/a	-15.1652	-13.5661	-18.7748	-42.7141	-15.5556	-11.3589	-18.9421	-42.7141
urd-wl-86-174276-11370242-post6__1	-ملک بابر حسین، جدہ،بہت افسوس کی بات ہے کہ آج کے جدید دور مین بھی اس طرح کی جاہلانہ رسمیں جاری وساری ہیں یہ جاگیر دار زمیندار وڈیرے اپنی جابرانہ حاکمیت سے معصوم لوگوں کو نشانہ بناتے ہیں انہیں کون مسلامن کہے گا؟	Malik Babar Hussain, It is sad that such customs of ignorance still exist in this modern age. These feudal target the poor and innocent people, who will believe that they are Muslims?	Malik Babar Husain, Jeddah. It is very sad that even in todays modern age, such ignorant traditions are prevalent. If the landlord or the property owner targets innocent people with his harsh dictatorship, who will call them Muslims?	Malik Babar Hussain, Judah, it is very disappointing that even today these kind of heathenish traditions continue. these feudal lords target innocent people with their feudal rule, who would call them Muslims?	Babar Hussain, a very well known personality said that, people are ignorant about the cultures and the landlords are targetting innocent people who are now loosing soverignity.	-206.009	-349.504	-294.379	-261.308	-203.997	-349.593	-294.089	-264.453
urd-wl-86-174276-11370242-post6__2	کبھی کوئی سردار خوداپنے آپ کو ان کوئلوں پر چل کر دکھلائے،حکومت وقت ان کے خلاف کارروائی کیوں نہیں کرتی؟	If any tribal chief proved his innocence by walking on fire. why GOVT does not take action?	Let any big shot walk on these burning coals. Why does the government allow them to do that?	a Sardar should walk himself over these embers. why the present government do not act against them?	Why does the government not take any action against Sardars who ditches a war?	-100.951	-61.357	-123.495	-78.5975	-101.004	-60.3207	-123.915	-76.0247
urd-wl-86-174276-11370242-post6__3	عدالتی انصاف کب کام آئے گاؕ	When will the judicial justice play its role?	When will court justice come into play?	when the judicial justice will come in handy.	WHen will the court justice work?	-27.3161	-26.5114	-60.0992	-20.0909	-26.3931	-27.1941	-60.917	-18.6277
urd-wl-86-174276-11370243-post1__1	سری لنکن کرکٹ ٹیم ون ڈے انٹرنیشنل سیریز کھیلنے پاکستان پہنچ گئی ہے	Sri Lankan team has reached Pakistan to play one day series.	The Sri Lankan cricket team has reached Pakistan, to play the one day international series.	the Srilankan cricket team has arrived Karachi to play One Day internationals.	Sir Lankan cricket team has reached Pakistan for playing one day international series.	-38.924	-48.1339	-147.553	-53.8132	-39.4468	-48.9412	-148.023	-54.2328
urd-wl-86-174276-11370243-post1__2	،پاک بھارت کشیدگی کے باوجود کسی غیرملکی کرکٹ ٹیم کی پاکستان آمد خوش آئند بات ہے۔	besides the Indo-Pak sullenness, a visit by a foreign team to Pakistan is very pleasing.	this is Happy news that foreign team is still coming to Pakistan regardless of tension between India and Pakistan	Despite the tensions between Pakistan and India it is nice to see a foreign team visit Pakistan.	Visit of a foreign team to Pakistan, in spite of Pak India tension is a good sign.	-117.625	-54.2163	-49.029	-87.0046	-118.019	-52.7618	-41.9879	-87.1441
urd-wl-86-174276-11370243-post1__3	کراچی ایئرپورٹ پہنچنے پر سری لنکا کی ٹیم کا پرتپاک استقبال کیا گیا۔	upon reaching the Karachi airport, the Srilankan team was very warmly welcomed.	On arrival at Karachi airport SriLankan team was given a warm welcome	On reaching the Karachi airport the Sirilankan team was given a warm welcome.	On reaching Karachi Airport the Sir Lankan team was given a warm welcome.	-113.547	-112.83	-112.435	-83.5921	-114.084	-113.715	-113.436	-84.5702
urd-wl-86-174276-11370243-post1__4	پاکستان اور سری لنکا کے درمیان دو ون ڈے میچ کراچی جبکہ تیسرا ون ڈے لاہور میں ہوگا،	two one days between Pakistan and Srilanka in Karachi whereas the third one day will be played in Lahore.	in between Pakistan and Srilanka, two matches are held at Karachi while one is at Lahore	There will be two one day matches in Karachi and one in Lahore between Pakistan and Sirilanka.	Two matches will be held between Pakistan and Sir Lanka in Karachi while the third one will be played in Lahore.	-165.033	-126.312	-125.109	-131.617	-166.17	-126.899	-124.229	-131.792
urd-wl-86-174276-11370243-post1__5	دونوں ٹیموں کی جانب سے باؤلنگ بیٹنگ اور فیلڈنگ سے متعلق بڑے بلند بانگ دعوے کئے جا رہے ہیں۔	both teams have there claims over bowling, batting and fielding.	both teams are claiming assurance regarding bowling, batting and fielding	There have been bold statements from both sides regarding their bowling, batting and fielding.	Both teams are asserting highly regarding their batting, bowling and fielding.	-115.429	-113.718	-115.801	-116.882	-115.974	-114.034	-114.403	-117.131
urd-wl-86-174276-11370243-post1__6	سری لنکا والوں کو اپنے اسپنرز پر ناز ہے تو پاکستان کو فاسٹ باؤلنگ پر بھروسہ ہے۔	if the Srilankans are proud of their spinners, the Pakistanis trust their fast bowlers.	Srilankan are proud of there Spiner while Pakistani are believing on their fast bowler	If the Sirilankans are proud of their spinners than Pakistan has its fast bowlers.	If Siri Lanka venerates its spinners, Pakistan’s reliance is on its fast bowlers.	-155.651	-131.322	-151.903	-232.325	-155.515	-132.725	-152.184	-232.12
urd-wl-86-174276-11370243-post1__7	سری لنکا کے کپتان مہیلا جے وردھنے کا کہنا ہے کہ پاکستان ٹیم کا کوئی ایک کھلاڑی نہیں، پوری ٹیم خطرناک ہے۔	Srilankan Captain Mahela Jayvardena has said that not a single player from Pakistan team but the whole team is dangerous.	Srilankan Captain Mahela Jaywardena has said that No one Player of Pakistan team but Whole Pakistan team is dangerous	The Sirilankan captain Mahela Jayawardene has said that no one player of the Pakistan team can be singled out as a threat, the whole team is dangerous.	Sir Lanka’s captain Mahela Jayawardene says that no one player but the whole Pakistan cricket team is dangerous.	-172.125	-179.143	-184.467	-172.78	-171.159	-179.003	-182.503	-171.745
urd-wl-86-174276-11370243-post1__8	مرلی دھرن اور مینڈس ٹرمپ کارڈ ہوں گے جبکہ پاکستان کے کپتان کا کہنا ہے کہ یہ مقابلہ سخت ہوگا۔	Murli dharan and Mendis will be the trump cards whereas the Pakistan Captain says that it will be a tough competition.	Murlidharan and Mendas will be our Trump Card, On the other side Pakistan' Captain has said that the competition will be tough	Muralitharan and Mendis are said to be trump cards while the Pakistani captain has said that the competition will be a tough one.	Muralidharan and Mendis will be the trump cards, while Pakistan’s captain says that this competition will be tough.	-168.8	-141.158	-136.435	-163.13	-168.777	-140.7	-134.496	-164.171
urd-wl-86-174276-11370243-post1__9	شعیب ملک نے کہا ہے کہ مرلی دھرن کو کھیلا ہے، مینڈس کو بھی دیکھ لیں گے، ہم نے خفیہ گیم پلان تیار کرلیا ہے ،اس کا مظاہر ہ میدان میں کریں گے۔	Shoaib Malik has said that we have played Murli dharan and we'll see Mendis as well. we have prepared a secret game plan and we shall implement that in the ground.	Shoaib Malik has said that we have played Murlidharn and will see Mendas as well, we have develop a secret game plan which we will show at the ground.	Shoaib Malik said that they've already played Muralitharan and that they'll see off Mendis as well, he also said that they've got a secret game plan that they'll reveal on the pitch.	Shoaib Malik has said “we have played Murali Dharan before and will take care of Mendis as well. We have made a secret game plan and will reveal it on the ground”.	-271.275	-217.858	-328.633	-347.316	-271.641	-221.318	-328.464	-348.96
urd-wl-86-174276-11370243-post1__10	کیا واقعی پاک سری لنکا دعووں کے مطابق دلچسپ اور سنسنی خیز ہوگی؟	will the Pak-Srilanka Series be really as interesting and exciting as the claims are?	do really Pak-Sri series will be entertaining and thrill?	Can it really be that according to the Pakistani and Sirilankan claims the contest will be a gripping one?	Will the Pakistan and Sir Lanka series live up to claims of being interesting and thrilling?	-85.9021	-106.384	-94.5287	-88.9767	-82.3715	-107.394	-92.713	-88.1518
urd-wl-86-174276-11370243-post1__11	پاکستان اور سری لنکا کے درمیان سیریز میں کس کا پلہ بھاری ہوگا؟	who will be dominate the series between Pakistan and Srilanka?	whose side is heaver in Pakistan and Srilanka series?	Who will have the upper hand when the series between Pakistan and Sirilanka gets underway?	Which side will dominate in the Pakistan and Siri Lanka series?	-67.3505	-138.843	-116.432	-108.613	-66.065	-139.098	-114.204	-110.406
urd-wl-86-174276-11370243-post1__12	سیریز کون جیتے گا؟	who will win series?	who will win the series?	Who will win the series?	Who will win the series?	-50.2874	-51.4335	-51.4335	-51.4335	-49.9673	-51.269	-51.269	-51.269
urd-wl-86-174276-11370243-post1__13	مین آف دی سیریز کون ہوگا؟	who will be main of the series?	Who will be the man of the series?	Who will be the man of the series?	Who will be man of the series?	-55.0649	-55.4966	-55.4966	-55.0335	-54.6956	-55.9386	-55.9386	-55.2989
urd-wl-86-174276-11370243-post1__14	اپنی رائے سے آگاہ کریں۔	let us know your recommendation.	Let us know of your opinion.	Give your opinion.	Inform us of your suggestions.	-12.3096	-13.5661	-9.87998	-16.1102	-11.7017	-11.3589	-10.3331	-14.2783
urd-wl-86-174276-11370244-post5__1	-گلفام،لندن،اپنی پسند کے بیان چھاپتے ہیں آپ بھی انہی کو ترجیح دیتے ہیں ہماری خواہش ہے کہ کچھ آپ بھی سچ لکھ دیا کریں مکھرجی کی طرح بیان میں الٹ پھیر نہ کرین کیونکہ جابر حاکم کے آگے حق بات کہنے کا حکم ہے اور یہ جہاد کے برابر ہے مکھرجی کا کیا ہی کہنا بیان بدل کر خبروں میں رہنے کی کوشش کرتے ہیں	Gulfam, wants his favorable speech and you are also consider that it is our wish that you should write some truth do not made interpretation as like Mukhurjee because it is order that said right in front of brutal rural and this equal to Jihad what Mukhurjee said tires to get inside in news by changing speech.	Gulfam, London, Publish statements that are of liking, you give preference to those too, it is our wish that even you write some truth, do not entangle the statement like Mukher Jee because it is commanded to say truth in front of tyrant and it is equal to Crusade(Jihad). What to say of Mukher Jee, change the statement between news and try to weep.	Gulpham, London, publishes his own views and you also prefer these views. I wish you would also write some truth, and not change your words like Mukherjee, because the order is to speak the truth in front of a tyrant king, and this is equivalent to Jihad. What should be said of Mukherjee, he tries to change his statements and stay in the news.	Gulfam from London has published his own statement, you also give importance to such statements. We wish you also write some truth .and do not change statement like Mukherjee, because it is an order to say truth to the despotic ruler is legitimate. And it is equal to jihad. Mukherjee keeps changing his statements to stay in news.	-319.146	-449.936	-290.329	-326.891	-321.103	-450.753	-290.727	-330.879
urd-wl-86-174276-11370245-post11__1	-ملک یوسف، دوبئی۔	Malik Yousuf, Dubai	Mailk Yousaf, Dubai	Malik Yusuf, Dubai.	mulk yusuf Dubai	-89.6934	-89.6934	-89.7311	-56.5995	-89.6934	-89.6934	-89.7311	-56.5995
urd-wl-86-174276-11370245-post11__2	یہ سب انہی لوگوں کا کیا دھرا ہے کشمیری پچھلے ساٹھ سال سے آزادی کی جنگ لڑ رہے ہیں ا	this all those same people have responsible, Kashmirs fighting for there freedom since last 60 years.	It is all these people's doing Kashmiris are fighting war of independence for the past sixty years.	How is all this is double for these people, when the Kashmiri people have been fighting for independence for the last 60 years?	All this is done by these people. Kashmir is fighting for its freedom from past 60 years.	-85.3023	-85.5825	-55.9029	-47.9617	-85.1089	-83.2477	-55.0924	-45.0634
urd-wl-86-174276-11370245-post11__3	نہیں کسی نے نہیں پوچھا اب وہی انتہاپسندی اور دہشت گردی کی جنگ مین پھنس چکے ہیں تو صلح صفائی کی باتیں شروع کردی گئ ہیں	no one ask about that now they have stuck with fundamentalism and fight for terrorism so they now start talking about deal.	No, no one asked, now they are caught in war of extremism and terrorism so they have started talking about peace and settlement.	No, no one asked, and they are now stuck in their war of extremism and terrorism, so they start talking about making up.	those who have not asked about it have now themselves in deep violence. talks of comprise has been started	-61.8529	-60.396	-60.7132	-57.4435	-62.4647	-59.3176	-63.2599	-57.8218
urd-wl-86-174276-11370245-post11__4	پہلے مسلمانوں کا قتل عام کیا اب معاملات سلجھانے کی چکر میں ہیں	first they killed Muslims brutally now they are trying to resolve issues.	First they generally massacred Muslims now they are perplexedly settling the matters.	First they openly killed the Muslims, now they are in the efforts of setting things right.	first killed Muslims openly now heading for cover it	-37.3892	-81.3537	-47.118	-37.1652	-35.8275	-80.5273	-46.9316	-38.6221
urd-wl-86-174276-11370245-post11__5	بہر حال پاکستان کو ان کی دوغلی پالیسی کو سمجھنا ہوگا،	although Pakistan have to understand there two way policy.	In any way Pakistan has to understand their duplicitous policies.	Anyway, Pakistan will have to understand their double edged policies.	anyways Pakistan should understand their double policies.	-28.8949	-30.6755	-35.0868	-63.0749	-29.0508	-29.0101	-34.4632	-63.2474
urd-wl-86-174276-11370245-post15__1	-اسد خان لندن،	Asad Khan, London.	Asad Khan London	Asad Khan, London.	Asad Khan: London	-54.3447	-55.0832	-54.3447	-88.0646	-54.3447	-55.0832	-54.3447	-88.0646
urd-wl-86-174276-11370245-post15__2	بھارت اس قسم کی صورتحال پیدا کر رہا ہے کہ دنیا کی توجہ کشمیر سے ہٹ جائے	India is creating this situation to distract world attention away from Kashmir issue.	India creates such situations that world concentration on Kashmir turn back.	India is creating such a situation that the world's attention can be diverted from Kashmir.	India is making situations so that the Kashmir situation is overlooked.	-41.6192	-41.1497	-37.9973	-33.6467	-40.6848	-41.7013	-36.6924	-33.7111
urd-wl-86-174276-11370245-post15__3	لیکن پاکستان نے ہمیشہ بھارت کی اصلیت کا چہرہ دنیا کا دکھلادیا ہے	But Pakistan has always showed true face of India to the world	but Pakistan always shows India real face to the world.	but Pakistan has always shown the real face of India to the world.	But Pakistan has always shown India's true face to the world.	-36.314	-34.0405	-31.6577	-32.5934	-37.4124	-35.2326	-31.3674	-33.0263
urd-wl-86-174276-11370245-post15__4	اب برطانوی حکومت بھی اس سمجھ رہی ہے اسی لئے بھارتی دہشتگردی کے نام سے پاکستان کو بدنام کرکے کشمیر قبضہ سے آنکھیں چرا رہے ہیں	Now British government has realized that Indian government is maligning Pakistan for terrorism so that it can occupy Kashmir.	now British government also understand that India made a bad image of Pakistan on the name of terrorism to turn back eyes on Kashmir occupation.	Now the British Government is also understanding that the Indians are taking cover from their occupation over Kashmir by blaming Pakistan of terrorism.	Even the British government is now understanding this, that is why India is now ruining Pakistan's reputation by terrorism accusations to distract from the Kashmir situation.	-98.0008	-70.5332	-69.6265	-83.6081	-97.9401	-74.1803	-69.895	-82.3422
urd-wl-86-174276-11370245-post15__5	اور پاکستان سے اس مسئلہ پر بات کرتے ہوئے ہچکچاتے ہیں	They are unwilling to talk with Pakistan on this matter	and frustrated to talk this matter with Pakistan	and they hesitate to talk to Pakistan over this issue.	And hesitates to talk with Pakistan about this.	-22.7079	-25.3405	-24.4936	-25.6775	-21.7983	-26.0952	-23.9337	-26.3002
urd-wl-86-174276-11370245-post1__1	برطانوی وزیر خارجہ ڈیوڈ ملی بینڈ نے کہا ہے کہ مسئلہ کشمیر کے حل سے انتہاپسندی ختم ہوگی، حکومت پاکستان سرحد پر جنم لینے والے خطرات سے موثر طریقے سے نمٹ سکے گی۔	British foreign minister David Miliband said that by resolving Kashmir issue will end extremism. Pakistan government will be able to handle the border issues.	British Foreign minister David Milliband said that by resolving Kashmir issue terrorism will eliminate and government of Pakistan can handle new challenges impressively on its border.	British foreign minister David Milliband has said that by resolving the issue of Kashmir will bring an end to extremism, the government of Pakistan will effectively handle the threats rising on the borders.	Britains Secretary of State David Miliband said that resolving Kashmir issue will finish off the extremism and the government of Pakistan will be able to tackle the dangers faced at the border efficiently	-80.1559	-94.182	-96.8617	-133.405	-81.4917	-93.0015	-91.9764	-130.276
urd-wl-86-174276-11370245-post1__2	واضح رہے کہ اس سے قبل نو منتخب امریکی صدر اوبامہ بھی مسئلہ کشمیر پر اسی طرح کے خیالات کا اظہار کرچکے ہیں۔	It should be noted that American president Obama has already expressed similar views on Kashmir issue.	its clear that before that newly elected American president Barack Obama also give his thoughts in a same manner.	it should be clear that the newly elected American president Obama has also expressed similar views over the Kashmir dispute.	It should be noted that recently the newly elected American President Obama has also expressed similar thoughts on the Kashmir issue	-77.1741	-129.642	-88.5769	-93.4894	-76.4892	-131.381	-88.0706	-91.3956
urd-wl-86-174276-11370245-post1__3	برطانوی وزیر خارجہ نے ممبئی میں میڈیا سے گفتگو اورایک مضمون میں لکھا ہے کہ دہشت گردی کی خلاف جنگ کا خیال غلط ہے خود کو درپیش خطرات کو جواز بناکر لوگوں کو قتل کرنا صدر بش کی پالیسی تھی۔	British foreign minister has said while talking to media in Mumbai and also written an essay that the idea of war on terror is wrong. On the basis of threat to oneself killing others was Bush's policy.	British foreign minster while talk with media and writes on one essay that though of fight against terrorism is wrong for challenge of danger for its own safety killed people is the policy of Bush.	The British foreign minister while talking to media in Mumbai and has written in an article that the idea of the war against terror is wrong and killing people just for the threats to one self was the policy of president Bush.	Britains Secretary of State said in front of media in Mumbai and also wrote that the idea of war against terrorism is wrong.Killing people for the sake of threats being faced had been the policy of President Bush	-108.96	-112.125	-103.506	-168.543	-106.011	-113.375	-101.23	-167.149
urd-wl-86-174276-11370245-post1__4	ڈیوڈ ملی بینڈ نے کہا ہے کہ پاکستان شدت پسند گروپوں کے لئے کسی نرمی کا مظاہرہ نہ کرے۔	David Miliband has said that Pakistan should show lineancy towards extremist groups.	David Milliband said that Pakistan did not show a soft corner for terrorist groups.	David Milliband has said that Pakistan should not be lenient with the extremist groups.	David Milliband said that Pakistan should not have any soft corner for the extremist groups	-80.1143	-49.2639	-43.3141	-52.2428	-80.4052	-49.4873	-43.1581	-51.7062
urd-wl-86-174276-11370245-post1__5	بڑی طاقتوں کی طرف سے تنازعہ کشمیر کے حل کی ضرورت پر زور دینے کی وجہ سے بھارت خطے میں کشیدگی پیداکرکے اس مسئلے سے توجہ ہٹانے کی کوشش تو نہیں کر رہا؟	Due to insistance of major powers to resolve Kashmir issue India is creating unrest in the region to distract world from this issue.	due to pressure from big powers to resolve conflict of Kashmir is India tries to create intense environment in this region to turn back concentration from this problem?	due to the stress over the need for resolution of the Kashmir dispute from the major powers, isn't India trying to divert the attention from this issue by creating unrest in the region?	Is India creating uncertainity in the region to avoid the resolution of Kashmir issue by big powers?	-67.3621	-81.4363	-87.3328	-88.9612	-68.2428	-80.8676	-86.7577	-89.9098
urd-wl-86-174276-11370245-post1__6	ممبئی میں دہشت گردی اسی حکمت عملی کا حصہ تو نہیں؟	Terrorist attack in Mumbai is also a part of this strategy.	either Mumbai terrorism is a part of this conspiracy?	isn't the terrorism in Mumbai a part of this strategy?	Are the Mumbai attacks the part of the plan?	-25.4853	-63.612	-30.3186	-28.6921	-24.1297	-64.064	-30.8532	-28.4315
urd-wl-86-174276-11370245-post1__7	کیا بھارت دہشت گردی کو بنیاد بناکر جامع مذاکرات کے عمل سے راہ فرار اختیار کرنا چاہتا ہے؟	Does India want to the allegations of terrorism its escape goat to avoid peace talks?	Does India wants to use terrorism as a means to avoid a dialogue ?	Is India using terrorism as a base to escape from comprehensive dialog?	Does India want to avoid the comprehensive talks by on the basis of terrorism?	-53.1341	-39.7015	-74.3143	-41.7907	-54.2134	-39.4036	-72.8988	-40.7909
urd-wl-86-174276-11370245-post1__8	اپنی رائے سے آگاہ کیجئے۔	Tell us your opinion.	Let us know about you opinion	Let us know of your opinion.	Enlighten us with your views	-11.5354	-18.0169	-13.5661	-16.4142	-12.2471	-17.4896	-11.3589	-17.2563
urd-wl-86-174276-11370245-post2__1	-عثمان آفتاب۔	Usman Aftab	Usman Aftab	Usman Aftab,	Usman Aftab.	-50.5469	-50.5469	-50.5469	-50.5469	-50.5469	-50.5469	-50.5469	-50.5469
urd-wl-86-174276-11370245-post2__2	میرے خیال میں بڑی طاقتیں ہیں وہ پاکستان کو مکمل نقصان پہنچانا نہیں چاہتیں ہیں	In my opinion alot of the powerful nations do not want to bring harm to Pakistan.	I think it is the big powers (countries) that want to harm Pakistan.	I think the big powers do not want to harm Pakistan.	I think Super powers don't want to destroy Pakistan	-74.7138	-67.5565	-26.0635	-31.8881	-73.2963	-67.3233	-25.6851	-32.5519
urd-wl-86-174276-11370245-post2__3	بلکہ اسے قابو میں رکھنے کے لئے کچھ اقدامات کا سوچ رہی ہیں انہیں معلوم ہے کہ پاکستان ایک ایٹمی قوت ہے	But are thinking of plans to keep it in their leash as they know that Pakistan is a nuclear power.	In fact are thinking of means to control Pakistan. They know Pakistan is an atomic power.	Rather it wants to keep it in check, and hence is thinking of taking certain steps. They know that Pakistan is a nuclear state.	rather they are thinking of certain policies to control her they are familiar that Pakistan is an atomic power	-49.255	-51.8959	-66.7659	-50.0058	-49.9358	-50.5052	-65.7722	-51.3399
urd-wl-86-174276-11370245-post2__4	یہاں کوئی انقلاب کی صورت پیدا کرنا چاہتے ہیں	They want to fuel a situation for a revolution.	They want to create an environment of a revolution.	They want to bring about some kind of revolution here.	want to bring some sort of revolution	-21.3724	-18.5377	-22.6143	-19.2652	-23.2888	-16.2244	-22.1604	-19.3381
urd-wl-86-174276-11370245-post2__5	بیرونی ممالک یہی سوچ رہے ہیں کہ پاکستان کو کارنر کرنے سے سیاسی جغرافیائی طور کچھ مشکلات ہوسکتی ہیں پاکستان کی مدد کرنا بھی چاہتے ہیں اور اپنا مقصد بھی پورا کرنا چاہتے ہیں	Other nations are thinking that in cornering Pakistan they may face Geographical Political problems, they also want to aid Pakistan but along with that they also want to accomplish their ulterior motives.	Foreign counties are thinking that if Pakistan is cornered that will pose more political and geographical problems. They want to help Pakistan and want to achieve their vested interests.	Foreign countries are only thinking that if they corner Pakistan, they would face some political and geographic problems. They want to help Pakistan, but also want to be successful in their goal.	Foreign countries believe that by cornering Pakistan few hurdles may generate want to support Pakistan and also wish to achieve their goal	-98.7149	-86.3867	-90.2272	-69.836	-99.8375	-85.5046	-93.9109	-71.3436
urd-wl-86-174276-11370246-post8__1	-ایک شہری، یو ایس اے۔	A Citizen, USA	A citizen of USA.	A citizen, USA.	A citizen,USA	-13.8696	-12.385	-12.6579	-44.5594	-14.0933	-12.5409	-12.8816	-44.7831
urd-wl-86-174276-11370246-post8__2	ہندو کی ہمیشہ روایت ہے کہ بغل میں چھری منہ پہ رام	Indians have known to be snakes in the grass.	It has always been Hindu's tradition 'walking stick in arm and name of Ram (Hindu God)on lips'	It has always been a Hindu tradition, that in the side is a knife and on the mouth is Ram.	Hindus always hit hard and then start speaking sweet.	-32.8388	-241.768	-52.9935	-36.2898	-33.2445	-241.737	-53.5448	-36.8694
urd-wl-86-174276-11370246-post8__3	میرا خیال ہے کہ بس تھوڑی تھوڑی دیر سے پیٹ میں درد اٹھتا ہے اور وہ پاکستان کو دھمکیاں دینے لگتے ہیں	In my opinion they get cramps every now and then which causes them to give baseless threats.	I think from time to time there is an anxiety and to relieve that Pakistan is blamed or associated with some negative event.	I think that they get stomach aches over small issues and begin to warn Pakistan.	I think that they get problems often in a while and they start threatning Pakistan.	-89.4045	-61.0992	-48.889	-75.6396	-86.0738	-58.6576	-49.6283	-75.0229
urd-wl-86-174276-11370246-post8__4	ہم ہر طرح سے تیار ہیں بھارت کے چیف آف آرمی اپنا منہ بند رکھے ورنہ ہم منہ توڑ جواب دینا جانتے ہیں	Indian army cheif keep your mouth shut,any way we are ready orelse we know to give you a solid answer.	We are ready in all ways, the Indian Chief of Army should keep his mouth shut or else, we know how to give mouth breaking anwers.	We are ready by all means. Indian Army chief should keep his mouth shut.	We are ready from each aspect.Indian army chief should better shut his mouth up else we are capable to cross attacking.	-168.422	-111.332	-48.0498	-143.47	-168.661	-112.171	-49.1326	-144.433
urd-wl-86-174276-11370246-post9__1	-فہیم صدیقی۔	FM SADIQ	Faheem Siddiqi	F.M. siddique	Faheem Siddique	-82.828	-82.828	-82.828	-82.828	-82.828	-82.828	-82.828	-82.828
urd-wl-86-174276-11370246-post9__2	راس الخیمہ، امریکہ کی شرارت سے یہس بیان بازی ہورہی ہے امریکہ کا دماغ تو ہے ہی خراب مگر اب بھارت کا بھی یہی حال ہے حملہ کرکے تو دیکھے حقیقت معلوم ہوجائے گی کون کتنا پانی میں ہے	With the help of American wealth Rasil quium gave an ec speach with which he blowed out American's mind this is wrong,but now the surprising thing is attack and watch truth will be proved.Who's right.	Ras al Khaima, This conversation is going on due to American mischief. America's mind was already spoiled, but know India is also becoming like that. Let them attack, and they will see the reality, as to who is in how deep waters.	Political statements are coming under the mischievous support of America. America is crazy and now Indians are going on the same pattern. if India has courage to attack, it should to know the ground reality.	Raas Al Khaima, It is due to America that wrong statements are being given , America is out of its mind but now India is also doing the same, India should try attacking , then it will become crystal clear that who stands where.	-364.423	-249.817	-105.168	-206.729	-363.688	-246.559	-109.624	-206.973
urd-wl-86-174276-11370246-post9__3	حماس پر اسرائیل حملہ کر رہا ہے لیکن کسی میں غیرت نہینن کہ اسے روکیں، بھارت بھی اسرائیل کی دیکھا دیکھی بھارت بھی یہی کچھ کرنا چاہتا ہے	Israil attacked Hamas but there was no one to stop them,the Indian brother just watched work done by Israil wanted to do some thing.	Israel is attacking Hamas, but no one has the courage to stop it. Watching Israel, India also wants to do all that.	Israel is attacking Hamas and no one has courage to stop Israel. Following Israel, Indian also wants to do some adventure.	Israel is attacking Hammas but nobody has that much integrity to stop them. India also want to follow Israel's foot steps	-188.885	-68.8152	-70.5299	-80.1739	-187.004	-61.8889	-68.9695	-80.6645
urd-wl-86-174276-11370247-post1__1	وزیر اعظم سید یوسف رضاء گیلانی نے کہا ہے کہ امریکی نو منتخب نائب صدر جوبائیڈن نے سابق صدر مشرف کی وردی اتروانے اور لولی لنگڑی جمہوریت بحال کروانے میں اہم کردار ادا کیا ہے،اس لئے حکومت پاکستان نے انہیں ستارہ امتیاز سے نوازا۔	Prime minster Syed yousuf said that all the issues of America's willbe taken to the parliment and will be solved with each sentence kept in mind.	The Prime Minister, Syed Raza Yusuf Geelani said that the newly elected American vice president, Joe Biden played an important role in removing the ex-president Musharraf's uniform and replacing it with a lame democracy, which is why the Pakistani government has honored him with a special star.	PM said that Byden had a great role in shedding Musharraf's uniform and restoring the democracy. That is why he has awarded SI.	Prime Minister Syed YOusaf Raza Gillini said that the newly elected vice president Joe Biden had played an important role in steping down of previous president musharraf as army cheif and restoring crippled democracy, thats why the government of pakistan has awarded him with Sitare-e-Imtiaz (honour medal)	-215.54	-326.9	-150.143	-548.815	-214.726	-322.668	-148.664	-545.068
